timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-28 19:41:34,"$115,562.60",$2.3T,$54.74B,19.94M BTC,0.07% (24h),82%,18%
2025-10-28 14:39:43,"$114,728.08",$2.28T,$54.32B,19.94M BTC,0.62% (24h),82%,18%
2025-10-28 14:58:19,"$114,908.54",$2.29T,$55.16B,19.94M BTC,0.39% (24h),82%,18%
2025-10-28 15:21:54,"$113,934.72",$2.27T,$55.84B,19.94M BTC,0.99% (24h),82%,18%
2025-10-28 15:33:33,"$113,884.76",$2.27T,$56.32B,19.94M BTC,0.85% (24h),82%,18%
2025-10-28 15:49:15,"$113,899.84",$2.27T,$55.51B,19.94M BTC,0.94% (24h),82%,18%
2025-10-28 16:00:59,"$113,657.39",$2.26T,$55.8B,19.94M BTC,1.07% (24h),82%,18%
2025-10-28 16:33:29,"$112,394.56",$2.24T,$59.93B,19.94M BTC,2.03% (24h),82%,18%
2025-10-28 16:51:44,"$112,718.13",$2.24T,$60.5B,19.94M BTC,1.72% (24h),82%,18%
2025-10-28 17:10:27,"$112,376.28",$2.24T,$62.18B,19.94M BTC,1.87% (24h),82%,18%
2025-10-28 17:31:15,"$112,696.56",$2.24T,$62.2B,19.94M BTC,1.28% (24h),82%,18%
2025-10-28 17:44:39,"$113,099.54",$2.25T,$61.76B,19.94M BTC,1.08% (24h),82%,18%
2025-10-28 17:58:16,"$113,099.17",$2.25T,$61.95B,19.94M BTC,1.21% (24h),82%,18%
2025-10-28 18:26:30,"$113,074.44",$2.25T,$63.61B,19.94M BTC,1.25% (24h),82%,18%
2025-10-28 18:44:29,"$113,267.28",$2.25T,$63.96B,19.94M BTC,0.88% (24h),82%,18%
2025-10-28 18:59:13,"$113,241.43",$2.25T,$63.34B,19.94M BTC,0.76% (24h),82%,18%
2025-10-28 19:26:11,"$112,943.67",$2.25T,$64.13B,19.94M BTC,0.91% (24h),82%,18%
2025-10-28 19:41:33,"$113,042.07",$2.25T,$64.14B,19.94M BTC,0.95% (24h),82%,18%
2025-10-28 19:53:47,"$113,010.49",$2.25T,$64.24B,19.94M BTC,0.97% (24h),82%,18%
2025-10-28 21:50:57,"$112,478.28",$2.24T,$65.59B,19.94M BTC,1.76% (24h),82%,18%
2025-10-28 23:09:49,"$112,458.85",$2.24T,$66.2B,19.94M BTC,1.41% (24h),82%,18%
2025-10-28 23:56:43,"$112,536.83",$2.24T,$65.9B,19.94M BTC,1.14% (24h),82%,18%
2025-10-29 00:30:31,"$112,725.76",$2.24T,$65.74B,19.94M BTC,1% (24h),82%,18%
2025-10-29 00:50:55,"$112,800.66",$2.24T,$64.77B,19.94M BTC,1.09% (24h),82%,18%
2025-10-29 01:02:08,"$112,858.02",$2.25T,$64.75B,19.94M BTC,0.94% (24h),82%,18%
2025-10-29 01:34:27,"$113,125.93",$2.25T,$65.06B,19.94M BTC,0.64% (24h),82%,18%
2025-10-29 01:50:52,"$113,110.52",$2.25T,$65.23B,19.94M BTC,0.53% (24h),82%,18%
2025-10-29 02:01:56,"$113,058.73",$2.25T,$65.19B,19.94M BTC,0.51% (24h),82%,18%
2025-10-29 02:44:06,"$113,047.74",$2.25T,$64.72B,19.94M BTC,0.83% (24h),82%,18%
2025-10-29 03:01:07,"$113,280.42",$2.25T,$65.38B,19.94M BTC,0.75% (24h),82%,18%
2025-10-29 03:29:19,"$113,432.81",$2.26T,$64.23B,19.94M BTC,0.71% (24h),82%,18%
2025-10-29 03:44:43,"$113,313.38",$2.25T,$65.34B,19.94M BTC,0.75% (24h),82%,18%
2025-10-29 03:58:57,"$113,546.55",$2.26T,$65.58B,19.94M BTC,0.57% (24h),82%,18%
2025-10-29 04:37:07,"$113,145.70",$2.25T,$65.83B,19.94M BTC,1.1% (24h),82%,18%
